offensive_language,tweet
3.0,Zuko gets bitches
1.0,Zimmerman we comin for yo life bitch. http://t.co/KHdZ1vdnSK
3.0,"Zhou Mi was just layin on his bed and SM just busted into his room and was like ""You gettin a song bitch"""
3.0,Zelda bitches lol @joeylattime https://t.co/Cp88AA7pms
0.0,Zack still questions my love for Oreos lol
3.0,Zach Huggins tell yo bitch to leave me tf alone
3.0,Yuu Hinouchi gets fucked by two guys until she gets her pussy&#160;creamed http://t.co/ElXktXI1Lv
3.0,Yup! RT @STheMisfit Then she got AIDs and died RT @MissBl0ndee: Jenny was a bitch! #forestgump
3.0,"Yup, I officially do not like you. You are a needy greedy bitch who needs to have it your way."
0.0,Yup RT @Durags4Eva: Egg nog trash rap
3.0,Yung nigger move that dope
2.0,Yuh bitch voz de mando at ok was the best mf Friday yet :)
2.0,Yu a bitch made nigga
3.0,"Yous a Gold bottle, These hoes pink mascato"
3.0,Yous a bitch ass nigga &#8220;@LilReese300: Rt i Push the tape bac till around Labor Day weekend turn up...#300&#8221;
1.0,"Youre a fucking ugly bitch, I wanna stab you to death and then play around with your blood -Patrick Bateman"
2.0,Your vaginal walls are inflammed by a fuck nigga that's fucking you and a few other bitches. Cut em as you complete your treatment.
1.0,Your retarded.
3.0,"Your pussy hole must be small ""@SoNi99a_: the adjustment phase? RT @80sbaby4life Tf is ""gentle intercourse"" ...."""
3.0,Your pussy hella tight. Took me an hour to slide in that mothafucka &#8220;@flaidfirnruht: &#8220;@07Cannon: Quote and I'll compliment you&#8221;&#8221;
0.0,Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face.
3.0,Your new bitch my old hoe
3.0,Your name follows the word cunt in the dictionary sooo what's that tell you?
2.0,Your leader rocks a fucking mo hawk and dances like a faggot from ATL @HoustonRockets
0.0,Your grammar is trash.
3.0,Your girls pussy smells like sour cream and onions
2.0,"Your girl pussy like a walk in clinic, the cure for every sick nigga"
2.0,"Your eyebrows on fleek, but ya pussy on stink"
2.0,Your ex wife's #pussy tastes like sweet butter @vicmackey #theshield
3.0,Your bitch wants to go to Little Italy with me tonight. Told her no. Fuck a thot.
2.0,Your bitch want to fuck the squad &#128527;&#128076;
3.0,Your bitch playing games? I may be the joystick
2.0,Your bitch only wanna fuck when you doing something that has nothing to do with her.Like playing video games or watching the game.
3.0,Your bitch is a fake sack of potatoes
3.0,Your bitch got her lipstick on my dick...
3.0,Your bitch frontin' that's you! My bitch stuntin' that's me!
3.0,Your bitch choosing just Let'R!
3.0,Your bitch always said she wanna fuck a real nigga
1.0,Your acting like a spoiled little faggot have fun
0.0,"Your A Good Gravedigger, Charlie Brown #SpookyBroadway @midnight"
3.0,"Young, stupid ass hoes these days&#128514;&#128514;#GOTDAYUM"
